DrugBank ID,Smiles,Name,Predicted negative probability,Predicted positive probability,Predicted classification
DB06255,P(O)(O)(=O)C(P(O)(O)=O)NC1CCCCC1,Incadronate,9.93E-01,7.00E-03,0
DB06243,FC(F)C(N)(CCCN)C(O)=O,Eflornithine,9.96E-01,4.27E-03,0
DB06237,Clc1cc(ccc1OC)CNc1nc(ncc1C(=O)NCc1ncccn1)N1CCC[C@H]1CO,Avanafil,4.84E-01,5.16E-01,1
DB06228,Clc1sc(cc1)C(=O)NC[C@@H]1OC(=O)N(C1)c1ccc(N2CCOCC2=O)cc1,Rivaroxaban,8.36E-01,1.64E-01,0
DB06219,Clc1c2[C@@H]3NC(=O)[C@H](NC(=O)[C@H](NC)c4cc(Oc(cc1O)c2)c(O)cc4)Cc1ccc(Oc2cc4[C@@H](NC3=O)C(=O)N[C@@H]3c5cc(-c6c(cc(O)cc6O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)C(NC(=O)[C@@H](NC3=O)[C@H](O)c3cc(Cl)c(Oc(c4)c2O[C@@H]2O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]2NC(=O)CCCCCCCCC(C)C)cc3)C(=O)NCCCN(C)C)c(O)cc5)cc1,Dalbavancin,4.26E-12,1.00E+00,1
DB06218,O(C[C@@H](NC(=O)C)C(=O)NCc1ccccc1)C,Lacosamide,9.89E-01,1.06E-02,0
DB06216,Clc1cc2C3C(c4c(Oc2cc1)cccc4)CN(C3)C.OC(=O)\C=C/C(O)=O,Asenapine,6.40E-01,3.60E-01,0
DB06213,O1[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1n1c2nc(nc(N)c2nc1)-n1ncc(c1)C(=O)NC,Regadenoson,9.66E-01,3.37E-02,0
DB06212,Clc1cc2c(N(CCC[C@H]2O)C(=O)c2ccc(NC(=O)c3ccccc3C)cc2C)cc1,Tolvaptan,3.32E-01,6.68E-01,1
DB06211,S([C@H]1C[C@H](NC1)CNS(=O)(=O)N)C=1[C@@H]([C@H]2N(C=1C(O)=O)C(=O)[C@@H]2[C@H](O)C)C,Doripenem,9.91E-01,9.21E-03,0
DB06210,Oc1c(cccc1N\N=C/1\C(=NN(C\1=O)c1cc(C)c(cc1)C)C)-c1cc(ccc1)C(O)=O,Eltrombopag,6.25E-01,3.75E-01,0
DB06209,s1c2CCN(Cc2cc1OC(=O)C)C(C(=O)C1CC1)c1ccccc1F,Prasugrel,7.89E-01,2.11E-01,0
DB06207,FC(F)(F)COc1ccccc1OCCN[C@@H](Cc1cc(c2N(CCc2c1)CCCO)C(=O)N)C,Silodosin,4.50E-01,5.50E-01,1
DB06204,Oc1cc(ccc1)[C@@H]([C@H](CN(C)C)C)CC,Tapentadol,7.80E-01,2.20E-01,0
DB06203,O=C1N(C)C(=O)N(Cc2ccccc2C#N)C(N2C[C@H](N)CCC2)=C1,Alogliptin,8.68E-01,1.32E-01,0
DB06201,Fc1cccc(F)c1Cn1nnc(c1)C(=O)N,Rufinamide,9.97E-01,3.10E-03,0
DB06196,s1cccc1C[C@H](NC(=O)CNC(=O)C1N(C[C@H](O)C1)C(=O)C1N(CCC1)C(=O)C(NC(=O)[C@H](N)CCCN=C(N)N)CCCN=C(N)N)C(=O)N[C@H](C(=O)N1Cc2c(CC1C(=O)N1[C@@H]3[C@H](CC1C(=O)N[C@@H](CCCN=C(N)N)C(O)=O)CCCC3)cccc2)CO,Icatibant,2.83E-06,1.00E+00,1
DB06176,S1SC[C@H]2N=C(O)[C@H](N=C(O)C[C@H](OC(=O)[C@@H](N=C(O)/C(/N=C2O)=C/C)C(C)C)C=CCC1)C(C)C,Romidepsin,6.86E-01,3.14E-01,0
DB06155,Clc1cc(Cl)ccc1-n1nc(C(=O)NN2CCCCC2)c(C)c1-c1ccc(Cl)cc1,Rimonabant,4.61E-02,9.54E-01,1
DB06151,SC[C@H](NC(=O)C)C(O)=O,Acetylcysteine,1.00E+00,3.80E-04,0
DB06150,S(=O)(=O)(Nc1nc(OC)nc(OC)c1)c1ccc(N)cc1,Sulfadimethoxine,6.30E-01,3.70E-01,0
DB06148,N12C(c3c(Cc4c1cccc4)cccc3)CN(CC2)C,Mianserin,1.44E-01,8.56E-01,1
DB06147,s1ccnc1NS(=O)(=O)c1ccc(N)cc1,Sulfathiazole,9.89E-01,1.11E-02,0
DB06144,Clc1cc2c(n(cc2C2CCN(CC2)CCN2CCNC2=O)-c2ccc(F)cc2)cc1,Sertindole,2.01E-02,9.80E-01,1
DB06016,Clc1c(N2CCN(CC2)CCC2CCC(NC(=O)N(C)C)CC2)cccc1Cl,Cariprazine,2.16E-02,9.78E-01,1
DB05812,O[C@@H]1CC2=CC[C@H]3[C@@H]4CC=C([C@]4(CC[C@@H]3[C@]2(CC1)C)C)c1cccnc1,Abiraterone,7.99E-02,9.20E-01,1
DB05676,S(=O)(=O)(C[C@@H](N1C(=O)c2c(cccc2N=C(O)C)C1=O)c1cc(OCC)c(OC)cc1)C,Apremilast,7.79E-01,2.21E-01,0
DB05630,[Sb]12(O[C@H]([C@@H](O1)[C@H](O2)[C@H](O)CO)C(=O)[O-])(O[Sb]12(O[C@H]([C@@H](O1)[C@H](O2)[C@H](O)CO)C(=O)[O-])O)[O-].[Na+].[Na+].[Na+].O.O.O.O.O.O.O.O.O,Sodium stibogluconate,9.14E-01,8.59E-02,0
DB05521,O=C(N[C@H](C(=O)N[C@@H](C(C)(C)C)C(=O)N1C[C@H]2[C@H](CCC2)[C@H]1C(=O)N[C@H](C(=O)C(=O)NC1CC1)CCC)C1CCCCC1)c1nccnc1,Telaprevir,9.74E-01,2.58E-02,0
DB05389,[Cl+]([O-])[O-].[Cl+]([O-])[O-].[Cl+]([O-])[O-].[Cl+]([O-])[O-].O.O=O,WF10,1.00E+00,2.61E-15,0
DB05294,Brc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCC2CCN(CC2)C)c3)cc1,Vandetanib,1.99E-02,9.80E-01,1
DB05271,s1cccc1CCN(CCC)C1CCc2c(C1)cccc2O,Rotigotine,1.01E-02,9.90E-01,1
DB05266,O=C(C(C)C)c1c2n(nc1C(C)C)C=CC=C2,Ibudilast,9.88E-01,1.19E-02,0
DB05265,S(O)(=O)(=O)c1cc2c(cc1C(C)C)CC[C@H]1[C@@](CCC[C@@]12C)(C(O)=O)C,Ecabet,9.72E-01,2.78E-02,0
DB05260,[Ga+3].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-],Gallium nitrate,1.00E+00,4.02E-07,0
DB05246,O=C1N(C)C(=O)CC1(C)c1ccccc1,Methsuximide,9.99E-01,1.25E-03,0
DB05245,[Ag+].S(=O)([O-])(=Nc1ncccn1)c1ccc(N)cc1,Silver sulfadiazine,9.96E-01,4.48E-03,0
DB05239,Ic1cc(F)c(Nc2c(F)c(F)ccc2C(=O)N2CC(O)(C2)[C@H]2NCCCC2)cc1,Cobimetinib,3.58E-01,6.42E-01,1
DB05109,S1[C@H]2[C@@H]3N([C@H](c4c2c(OC(=O)C)c(c2OCOc24)C)COC(=O)[C@@]2(NCCc4cc(O)c(OC)cc24)C1)[C@@H](O)[C@H]1N([C@@H]3c2c(cc(C)c(OC)c2O)C1)C,Trabectedin,6.32E-01,3.68E-01,0
DB05039,Oc1c2NC(=O)C=Cc2c(cc1)[C@@H](O)CNC1Cc2cc(CC)c(cc2C1)CC,Indacaterol,2.49E-01,7.51E-01,1
DB05016,Fc1ccccc1-c1onc(n1)-c1cc(ccc1)C(O)=O,Ataluren,9.69E-01,3.10E-02,0
DB05013,O=C1[C@@]23C=C(C)[C@H](OC(=O)\C(=C/C)\C)[C@@]2(O)[C@H](O)C(=C[C@H]1[C@H]1[C@@H](C[C@H]3C)C1(C)C)CO,Ingenol Mebutate,9.87E-01,1.31E-02,0
DB04967,S1c2c(C(=O)c3c1cccc3)c(NCCN(CC)CC)ccc2C,Lucanthone,3.65E-02,9.63E-01,1
DB04953,Fc1ccc(cc1)CNc1cc(N)c(NC(OCC)=O)cc1,Ezogabine,2.02E-01,7.98E-01,1
DB04948,Clc1cccc(Cl)c1OC(C)C=1NCCN=1,Lofexidine,4.01E-01,5.99E-01,1
DB04946,Fc1cc2onc(c2cc1)C1CCN(CC1)CCCOc1ccc(cc1OC)C(=O)C,Iloperidone,1.02E-01,8.98E-01,1
DB04942,OC(=O)c1ccc(cc1)C(=O)Nc1cc2c(cc1)C(CCC2(C)C)(C)C,Tamibarotene,7.48E-01,2.52E-01,0
DB04938,ClCC\C(=C(\c1ccc(OCCO)cc1)/c1ccccc1)\c1ccccc1,Ospemifene,1.64E-01,8.36E-01,1
DB04930,ClC(Cl)=CC1C(C)(C)C1C(OCc1cc(Oc2ccccc2)ccc1)=O,Permethrin,1.46E-01,8.54E-01,1
DB04920,Clc1c(cccc1Cl)C1C(C(OCOC(=O)CCC)=O)=C(NC(C)=C1C(OC)=O)C,Clevidipine,7.91E-01,2.09E-01,0
DB04911,Clc1c2Oc3cc4[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC)CC(C)C)[C@H](O)c(c1)cc2)CC(=O)N)C(=O)N[C@@H]1c2cc(-c5c(cc(O)cc5O)[C@H](NC(=O)[C@@H](NC1=O)[C@H](O[C@@H]1O[C@@H](C)[C@H](O)[C@@](N)(C1)C)c1cc(Cl)c(Oc(c4)c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@](NCc4ccc(cc4)-c4ccc(Cl)cc4)(C3)C)cc1)C(O)=O)c(O)cc2,Oritavancin,2.26E-11,1.00E+00,1
DB04908,FC(F)(F)c1cc(N2CCN(CC2)CCN2c3c(NC2=O)cccc3)ccc1,Flibanserin,9.67E-03,9.90E-01,1
DB04898,O(C(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(cc1)/C(=N/O)/N)C1CCCCC1)CC,Ximelagatran,9.75E-01,2.49E-02,0
DB04896,O=C(N(CC)CC)[C@@]1(C[C@@H]1CN)c1ccccc1,Milnacipran,9.45E-01,5.49E-02,0
DB04894,S1SCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(N)Cc2ccccc2)C1)Cc1ccc(O)cc1)Cc1c2c([nH]c1)cccc2)CCCCN)C(C)C)C(=O)NC(Cc1[nH]c2c(c1)cccc2)C(=O)N,Vapreotide,3.45E-02,9.66E-01,1
DB04890,Clc1ccc(cc1)C(OC1CCN(CC1)CCCC(O)=O)c1ncccc1,Bepotastine,1.38E-01,8.62E-01,1
DB04880,S(C)c1ccc(cc1)C(=O)C=1NC(=O)NC=1C,Enoximone,8.83E-01,1.17E-01,0
DB04878,O[C@H]1[C@H](O)[C@](O)(C[C@H](NC(CO)CO)[C@@H]1O)CO,Voglibose,1.00E+00,4.41E-04,0
DB04877,O(C)c1cc2c3c([nH]c2cc1[C@@H]1c2[nH]c4c(c2C[C@H]2N(C/C(/[C@H](C1)C2C(OC)=O)=C/C)C)cccc4)[C@]1([C@H]2N(CC3)C[C@H](C1)C[C@@H]2CC)C(OC)=O,Voacamine,2.33E-01,7.67E-01,1
DB04876,OC12CC3(NCC(=O)N4CCC[C@H]4C#N)CC(C1)CC(C3)C2,Vildagliptin,9.23E-01,7.72E-02,0
DB04871,Clc1cc2c(CCNC[C@@H]2C)cc1,Lorcaserin,3.43E-01,6.57E-01,1
DB04868,FC(F)(F)c1cc(NC(=O)c2cc(Nc3nc(ccn3)-c3cccnc3)c(cc2)C)cc(-n2cc(nc2)C)c1,Nilotinib,2.31E-01,7.69E-01,1
DB04865,O1c2c(OC1)cc1[C@@H]3[C@@]4(N(CCc1c2)CCC4)C=C(OC)[C@H]3OC(=O)C(O)(CCCC(O)(C)C)CC(OC)=O,Homoharringtonine,6.92E-01,3.08E-01,0
DB04861,Fc1cc2CCC(Oc2cc1)C(O)CNCC(O)C1Oc2c(cc(F)cc2)CC1,Nebivolol,1.23E-01,8.77E-01,1
DB04855,S(=O)(=O)(Nc1cc2c(oc(CCCC)c2C(=O)c2ccc(OCCCN(CCCC)CCCC)cc2)cc1)C,Dronedarone,9.45E-02,9.05E-01,1
DB04854,s1c(nc(C)c1C(O)=O)-c1cc(C#N)c(OCC(C)C)cc1,Febuxostat,8.94E-01,1.06E-01,0
DB04846,O(CC(O)CNC(C)(C)C)c1ccc(NC(=O)N(CC)CC)cc1C(=O)C,Celiprolol,7.10E-01,2.90E-01,0
DB04845,s1cc(nc1C)\C=C(/C)\[C@H]1NC(=O)C[C@@H](O)C(C)(C)C(=O)[C@@H](C)[C@@H](O)[C@H](CCC[C@]2(O[C@H]2C1)C)C,Ixabepilone,8.05E-01,1.95E-01,0
DB04844,O(C)c1cc2C3N(CC(CC(C)C)C(=O)C3)CCc2cc1OC,Tetrabenazine,5.28E-01,4.72E-01,0
DB04843,O(C(=O)C(O)(c1ccccc1)c1ccccc1)C1CCC[N+](C1)(C)C,Mepenzolate,6.74E-01,3.26E-01,0
DB04842,Fc1ccc(cc1)C(CCCN1CCC2(N(CNC2=O)c2ccccc2)CC1)c1ccc(F)cc1,Fluspirilene,2.40E-02,9.76E-01,1
DB04841,Fc1ccc(cc1)C(N1CCN(CC1)C\C=C\c1ccccc1)c1ccc(F)cc1,Flunarizine,1.01E-02,9.90E-01,1
DB04840,NC(=N)N1CCc2c(C1)cccc2,Debrisoquin,9.91E-01,8.69E-03,0
DB04839,ClC=1C2=CC(=O)[C@H]3[C@H](C3)[C@@]2([C@@H]2[C@H]([C@@H]3CC[C@](OC(=O)C)(C(=O)C)[C@]3(CC2)C)C=1)C,Cyproterone acetate,9.41E-01,5.93E-02,0
DB04838,O(C(=O)C(O)c1ccccc1)C1CC(CC(C1)C)(C)C,Cyclandelate,9.14E-01,8.56E-02,0
DB04837,Clc1ccccc1C(O)(CCN(C)C)c1ccccc1,Clofedanol,1.18E-01,8.82E-01,1
DB04835,FC1(F)CCC(CC1)C(=O)N[C@@H](CCN1[C@H]2CC(n3c(nnc3C)C(C)C)C[C@@H]1CC2)c1ccccc1,Maraviroc,1.61E-01,8.39E-01,1
DB04794,n1ccn(c1)C(c1ccc(cc1)-c1ccccc1)c1ccccc1,Bifonazole,1.33E-01,8.67E-01,1
DB04786,S(O)(=O)(=O)c1c2c(cc(S(O)(=O)=O)c1)c(S(O)(=O)=O)ccc2NC(=O)c1cc(NC(=O)c2cc(NC(=O)Nc3cc(ccc3)C(=O)Nc3cc(ccc3C)C(=O)Nc3c4c(cc(S(O)(=O)=O)cc4S(O)(=O)=O)c(S(O)(=O)=O)cc3)ccc2)c(cc1)C,Suramin,1.05E-05,1.00E+00,1
DB04743,S(=O)(=O)(Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1)C,Nimesulide,8.52E-01,1.48E-01,0
DB04711,Ic1c(C(O)=O)c(I)cc(I)c1NC(=O)CCCCC(=O)Nc1c(I)c(C(O)=O)c(I)cc1I,Iodipamide,9.29E-01,7.13E-02,0
DB04575,O(C1CCCC1)c1cc2CC[C@H]3[C@@H]4CC[C@@](O)(C#C)[C@]4(CC[C@@H]3c2cc1)C,Quinestrol,5.86E-02,9.41E-01,1
DB04574,S(Oc1cc2CC[C@H]3[C@@H]4CCC(=O)[C@]4(CC[C@@H]3c2cc1)C)(O)(=O)=O,Estropipate,8.48E-01,1.52E-01,0
DB04573,Oc1cc2CC[C@H]3[C@@H]4C[C@@H](O)[C@H](O)[C@]4(CC[C@@H]3c2cc1)C,Estriol,8.75E-01,1.25E-01,0
DB04572,S=P(N1CC1)(N1CC1)N1CC1,Thiotepa,9.25E-01,7.55E-02,0
DB04571,O1c2c(cc3c(oc(c3)C)c2C)C(=CC1=O)C,Trioxsalen,9.33E-01,6.66E-02,0
DB04570,S(CC=1CO[C@H]2N(C=1C(O)=O)C(=O)[C@@]2(OC)NC(=O)C(C(O)=O)c1ccc(O)cc1)c1nnnn1C,Latamoxef,9.96E-01,4.06E-03,0
DB04552,FC(F)(F)c1cc(Nc2ncccc2C(O)=O)ccc1,Niflumic Acid,9.51E-01,4.93E-02,0
DB04465,O1[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)C1O,Lactose,9.99E-01,7.32E-04,0
DB04398,OC(C(O)=O)C,Lactic Acid,1.00E+00,2.97E-04,0
DB04339,S(CC(O)=O)C[C@H](N)C(O)=O,Carbocisteine,1.00E+00,1.20E-04,0
DB04304,OC(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,Gluconic Acid,1.00E+00,1.14E-05,0
DB04224,OC(=O)CCCCCCC\C=C\CCCCCCCC,Oleic Acid,7.08E-02,9.29E-01,1
DB03904,O=C(N)N,Urea,9.52E-01,4.77E-02,0
DB03843,O=C,Formaldehyde,1.00E+00,3.35E-05,0
DB03793,OC(=O)c1ccccc1,Benzoic Acid,1.00E+00,5.16E-05,0
DB03754,OCC(N)(CO)CO,Tris,9.99E-01,1.42E-03,0
DB03619,O[C@@H]1C[C@H]2[C@H]([C@@H]3CC[C@@H]([C@@H](CCC(O)=O)C)[C@@]13C)CC[C@H]1C[C@@H](O)CC[C@@]12C,Deoxycholic Acid,6.93E-01,3.07E-01,0
DB03615,O1[C@@H](CN)[C@H](O)[C@@H](O)[C@H](N)[C@H]1O[C@@H]1[C@@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)[C@H](O)[C@@H](N)C[C@H]1N,Ribostamycin,9.96E-01,4.03E-03,0
DB03404,[Fe@]123[N+]4=C5C=c6n1c(=CC1=[N+]2C(=Cc2n3c(C=C4C(C(O)=O)=C5C)c(C(O)=O)c2C)C(C)=C1C)c(C)c6C,Hemin,8.78E-01,1.22E-01,0
DB03255,Oc1ccccc1,Phenol,9.99E-01,6.20E-04,0
DB03209,O=C1NC(=NC(=O)N1)C(O)=O,Oteracil,9.99E-01,9.10E-04,0
DB03166,O=C([O-])C,Acetic acid,1.00E+00,2.39E-05,0
DB03147,P(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(OP(OC[C@@H](O)[C@@H](O)[C@@H](O)CN1C2=NC(=O)NC(=O)C2=Nc2cc(C)c(cc12)C)(O)=O)(O)=O,Flavin adenine dinucleotide,6.34E-01,3.66E-01,0
DB03128,O(C(=O)C)CC[N+](C)(C)C,Acetylcholine,1.00E+00,1.96E-09,0
DB02959,Oc1cc2c([nH]cc2C[C@H](N)C(O)=O)cc1,Oxitriptan,9.95E-01,4.86E-03,0
DB02703,O(C(=O)C)[C@H]/1C[C@]2([C@@H](C[C@@H](O)[C@@H]3[C@@]2(CC[C@H]2[C@H](C)[C@H](O)CC[C@@]23C)C)\C\1=C(/CCC=C(C)C)\C(O)=O)C,Fusidic Acid,8.70E-01,1.30E-01,0
DB02701,O=C(N)c1cccnc1,Nicotinamide,1.00E+00,2.80E-04,0
DB02659,O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@@H](CCC(O)=O)C)[C@@]13C)[C@H](O)C[C@@H]1C[C@H](O)CC[C@@]12C,Cholic Acid,9.04E-01,9.63E-02,0
DB02638,S1SC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)CN)C1)Cc1ccc(O)cc1)Cc1ccccc1)CCC(=O)N)CC(=O)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N,Terlipressin,5.49E-03,9.95E-01,1
DB02546,O=C(Nc1ccccc1)CCCCCCC(=O)NO,Vorinostat,9.33E-01,6.72E-02,0
DB02513,Oc1cc(ccc1C(C)C)C,Thymol,9.69E-01,3.06E-02,0
DB02325,OC(C)C,Isopropyl Alcohol,9.88E-01,1.19E-02,0
DB02300,O[C@H]1C[C@H](O)C\C(=C\C=C/2\[C@@H]3CC[C@H]([C@@H](\C=C\[C@@H](O)C4CC4)C)[C@]3(CCC\2)C)\C1=C,Calcipotriol,2.59E-01,7.41E-01,1
DB02187,Oc1cc2CC=C3[C@@H]4CCC(=O)[C@]4(CC[C@@H]3c2cc1)C,Equilin,8.86E-01,1.14E-01,0
DB01878,O=C(c1ccccc1)c1ccccc1,Benzophenone,1.00E+00,2.90E-04,0
DB01764,S(=O)(=O)(CCN(CC)CC)[C@H]1C2N(CC1)C(=O)c1nc(oc1)CC(=O)C[C@H](O)/C=C(\C=C/CNC(=O)\C=C/[C@@H](C)[C@H](OC2=O)C(C)C)/C,Dalfopristin,8.25E-01,1.75E-01,0
DB01744,O=C1C[C@@H]2CC[C@@]1(C)C2(C)C,Camphor,9.91E-01,8.83E-03,0
DB01656,Clc1cncc(Cl)c1NC(=O)c1cc(OCC2CC2)c(OC(F)F)cc1,Roflumilast,4.60E-01,5.40E-01,1
DB01638,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,D-Sorbitol,1.00E+00,4.71E-05,0
DB01628,Clc1cc(c(nc1)-c1ccc(nc1)C)-c1ccc(S(=O)(=O)C)cc1,Etoricoxib,3.46E-01,6.54E-01,1
DB01627,S(C)[C@H]1O[C@H]([C@H](NC(=O)C2N(C[C@@H](C2)CCC)C)[C@H](O)C)[C@H](O)[C@H](O)[C@H]1O,Lincomycin,9.85E-01,1.50E-02,0
DB01626,N(Cc1ccccc1)(CC#C)C,Pargyline,5.39E-01,4.61E-01,0
DB01625,O=C(N)C(CC[N+](C(C)C)(C(C)C)C)(c1ccccc1)c1ccccc1,Isopropamide,2.54E-01,7.46E-01,1
DB01624,Clc1cc\2c(Sc3c(cccc3)/C/2=C/CCN2CCN(CC2)CCO)cc1,Zuclopenthixol,4.59E-03,9.95E-01,1
DB01623,S1c2c(cc(S(=O)(=O)N(C)C)cc2)\C(\c2c1cccc2)=C/CCN1CCN(CC1)C,Thiothixene,1.25E-02,9.88E-01,1
DB01622,S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)C)cc(S(=O)(=O)N(C)C)cc2,Thioproperazine,1.34E-02,9.87E-01,1
DB01621,S1c2c(N(c3c1cccc3)CCCN1CCC(CC1)CCO)cc(S(=O)(=O)N(C)C)cc2,Pipotiazine,4.44E-02,9.56E-01,1
DB01620,n1ccccc1C(CCN(C)C)c1ccccc1,Pheniramine,5.18E-01,4.82E-01,0
DB01619,N1(CC2=C(CC1)c1c(cccc1)C2c1ccccc1)C,Phenindamine,7.98E-02,9.20E-01,1
DB01618,O1CCN(CC1)CC1CCc2[nH]c(C)c(c2C1=O)CC,Molindone,8.95E-01,1.05E-01,0
DB01616,N(CCCc1ccccc1)(CCCc1ccccc1)CC,Alverine,3.11E-03,9.97E-01,1
DB01615,S1c2c(N(c3c1cccc3)CC(N(C)C)C)cc(cc2)C(=O)C,Aceprometazine,6.23E-01,3.77E-01,0
DB01614,S1c2c(N(c3c1cccc3)CCCN(C)C)cc(cc2)C(=O)C,Acepromazine,2.43E-01,7.57E-01,1
DB01613,O([N+](=O)[O-])C[C@@H](O[N+](=O)[O-])[C@@H](O[N+](=O)[O-])CO[N+](=O)[O-],Erythrityl Tetranitrate,9.91E-01,9.09E-03,0
DB01612,O(N=O)CCCCC,Amyl Nitrite,9.91E-01,9.10E-03,0
DB01611,Clc1cc2nccc(NC(CCCN(CCO)CC)C)c2cc1,Hydroxychloroquine,2.38E-02,9.76E-01,1
DB01610,O=C1N=C(Nc2n(cnc12)COC(COC(=O)[C@@H](N)C(C)C)CO)N,Valganciclovir,9.62E-01,3.76E-02,0
DB01609,Oc1ccccc1-c1nc(nn1-c1ccc(cc1)C(O)=O)-c1ccccc1O,Deferasirox,8.06E-01,1.94E-01,0
DB01608,S1c2c(N(c3c1cccc3)CCCN1CCC(O)CC1)cc(cc2)C#N,Propericiazine,1.04E-02,9.90E-01,1
DB01607,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](C(O)=O)c1ccsc1,Ticarcillin,9.99E-01,7.57E-04,0
DB01606,S1(=O)(=O)[C@H]2N([C@@H](C(O)=O)[C@@]1(Cn1nncc1)C)C(=O)C2,Tazobactam,1.00E+00,6.10E-05,0
DB01605,S1[C@H]2N([C@@H](C(OCOC(=O)C(C)(C)C)=O)C1(C)C)C(=O)[C@H]2N=CN1CCCCCC1,Pivmecillinam,9.37E-01,6.32E-02,0
DB01604,S1[C@H]2N([C@@H](C(OCOC(=O)C(C)(C)C)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,Pivampicillin,9.55E-01,4.48E-02,0
DB01603,S1[C@H]2N([C@@H](C(O)=O)C1(C)C)C(=O)[C@H]2NC(=O)c1c(OC)cccc1OC,Meticillin,9.92E-01,7.53E-03,0
DB01602,S1[C@H]2N([C@@H](C(OC(OC(OCC)=O)C)=O)C1(C)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,Bacampicillin,9.67E-01,3.35E-02,0
DB01601,O(CC(=O)N[C@H]([C@@H](O)C[C@@H](NC(=O)[C@@H](N1CCCNC1=O)C(C)C)Cc1ccccc1)Cc1ccccc1)c1c(cccc1C)C,Lopinavir,5.84E-01,4.16E-01,0
DB01600,s1c(ccc1C(C(O)=O)C)C(=O)c1ccccc1,Tiaprofenic acid,9.96E-01,4.01E-03,0
DB01599,S(C(Sc1cc(C(C)(C)C)c(O)c(c1)C(C)(C)C)(C)C)c1cc(C(C)(C)C)c(O)c(c1)C(C)(C)C,Probucol,4.84E-01,5.16E-01,1
DB01598,S(CC\N=C\N)C=1C[C@H]2N(C=1C(O)=O)C(=O)[C@@H]2[C@H](O)C,Imipenem,9.96E-01,4.03E-03,0
DB01597,S(CCCC\C=C(/NC(=O)[C@H]1CC1(C)C)\C(O)=O)C[C@H](N)C(O)=O,Cilastatin,9.93E-01,7.38E-03,0
DB01595,O=C1Nc2c(cc([N+](=O)[O-])cc2)C(=NC1)c1ccccc1,Nitrazepam,9.07E-01,9.27E-02,0
DB01594,Clc1cc2c(N(CCC#N)C(=O)C(O)N=C2c2ccccc2F)cc1,Cinolazepam,5.76E-01,4.24E-01,0
DB01593,[Zn],Zinc,9.96E-01,4.43E-03,0
DB01591,O(C(=O)N1CCc2c(cccc2)[C@@H]1c1ccccc1)[C@@H]1C2CCN(C1)CC2,Solifenacin,6.22E-02,9.38E-01,1
DB01590,O1C(CC(=O)[C@@H](\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C[C@H](\C=C\C=C\C=C(/C)\[C@@H](OC)C[C@@H]2O[C@@](O)([C@H](CC2)C)C(=O)C(=O)N2[C@H](CCCC2)C1=O)C)C)C)[C@H](C[C@H]1C[C@@H](OC)[C@H](OCCO)CC1)C,Everolimus,2.67E-01,7.33E-01,1
DB01589,Clc1cc2c(N(CC(F)(F)F)C(=S)CN=C2c2ccccc2F)cc1,Quazepam,3.06E-01,6.94E-01,1
DB01588,Clc1cc2c(N(CC3CC3)C(=O)CN=C2c2ccccc2)cc1,Prazepam,5.85E-01,4.15E-01,0
DB01587,Clc1cc2c(N(C)C(=O)CN3C2(OC(=CC3=O)C)c2ccccc2)cc1,Ketazolam,8.08E-01,1.92E-01,0
DB01586,O[C@@H]1CC[C@]2([C@@H](C1)C[C@H](O)[C@H]1[C@@H]3CC[C@H]([C@@H](CCC(O)=O)C)[C@]3(CC[C@@H]12)C)C,Ursodeoxycholic acid,8.37E-01,1.63E-01,0
